"","pitcher","p_throws","totalStrPct","totalBallPct","totalBIPPct"
"86",592612,"L",0.450704225352113,0.436619718309859,0.112676056338028
"87",592741,"L",0.448275862068966,0.396551724137931,0.155172413793103
"88",594795,"L",0.479338842975207,0.363636363636364,0.15702479338843
"89",596133,"R",0.47196261682243,0.369158878504673,0.158878504672897
"90",605242,"R",0.339805825242718,0.466019417475728,0.194174757281553
"91",605288,"R",0.461318051575931,0.346704871060172,0.191977077363897
"92",605488,"L",0.538461538461538,0.353846153846154,0.107692307692308
"93",607192,"R",0.509433962264151,0.364296081277213,0.126269956458636
"94",608379,"R",0.467857142857143,0.339285714285714,0.192857142857143
"95",608665,"R",0.567567567567568,0.351351351351351,0.0810810810810811
"96",621593,"R",0.714285714285714,0.142857142857143,0.142857142857143
"97",622088,"R",0.41025641025641,0.461538461538462,0.128205128205128
"98",622251,"R",0.545454545454545,0.363636363636364,0.0909090909090909
"99",642207,"R",0.142857142857143,0.714285714285714,0.142857142857143
"100",656222,"L",0.638888888888889,0.25,0.111111111111111
"101",656288,"R",0.418367346938776,0.38265306122449,0.198979591836735
"102",657053,"R",0.473684210526316,0.407894736842105,0.118421052631579
"103",657624,"R",0.381818181818182,0.436363636363636,0.181818181818182
"104",663366,"R",0.39344262295082,0.39344262295082,0.213114754098361
"105",456701,"R",0.222222222222222,0.444444444444444,0.333333333333333
"106",502188,"R",0.422680412371134,0.412371134020619,0.164948453608248
"107",502706,"L",0.48,0.384,0.136
"108",518858,"R",0.518518518518518,0.296296296296296,0.185185185185185
"109",518876,"R",0.466367713004484,0.340807174887892,0.192825112107623
"110",543507,"R",0.6,0.366666666666667,0.0333333333333334
"111",572193,"R",0.5,0.388888888888889,0.111111111111111
"112",592644,"R",0.525773195876289,0.298969072164948,0.175257731958763
"113",593372,"R",0.490909090909091,0.339393939393939,0.16969696969697
"114",596043,"R",0.380952380952381,0.404761904761905,0.214285714285714
"115",607074,"L",0.456140350877193,0.43859649122807,0.105263157894737
"116",607237,"L",0.52,0.32,0.16
"117",608723,"R",0.449086161879896,0.370757180156658,0.180156657963446
"118",621111,"R",0.46643109540636,0.399293286219081,0.134275618374558
"119",621219,"R",0.44311377245509,0.368263473053892,0.188622754491018
"120",650644,"R",0.477707006369427,0.340764331210191,0.181528662420382
"121",656302,"R",0.40990099009901,0.417821782178218,0.172277227722772
"122",663776,"L",0.44392523364486,0.401869158878505,0.154205607476636
"123",665621,"R",0.5,0.402777777777778,0.0972222222222222
"124",676604,"R",0.457142857142857,0.457142857142857,0.0857142857142857
"125",450203,"R",0.514056224899598,0.309236947791165,0.176706827309237
"126",453178,"R",0.676470588235294,0.235294117647059,0.088235294117647
"127",456501,"R",0.473913043478261,0.391304347826087,0.134782608695652
"128",489334,"R",0.444444444444444,0.333333333333333,0.222222222222222
"129",518516,"L",0.4625,0.316666666666667,0.220833333333333
"130",518633,"L",0.429824561403509,0.407894736842105,0.162280701754386
"131",543135,"R",0.486772486772487,0.328042328042328,0.185185185185185
"132",543294,"R",0.477611940298507,0.319829424307036,0.202558635394456
"133",543766,"R",0.294117647058824,0.470588235294118,0.235294117647059
"134",571521,"L",0.464285714285714,0.5,0.0357142857142857
"135",592879,"R",0.453125,0.40625,0.140625
"136",594965,"R",0.438356164383562,0.447488584474886,0.114155251141553
"137",598264,"R",0.560975609756098,0.341463414634146,0.097560975609756
"138",605177,"L",0.5,0.25,0.25
"139",605482,"R",0.222222222222222,0.444444444444444,0.333333333333333
"140",607625,"R",0.487341772151899,0.379746835443038,0.132911392405063
"141",608566,"R",0.475352112676056,0.338028169014085,0.186619718309859
"142",641312,"R",0.642857142857143,0.0714285714285714,0.285714285714286
"143",642003,"L",0.346153846153846,0.538461538461538,0.115384615384615
"144",643290,"R",0.428571428571429,0.417989417989418,0.153439153439153
"145",663978,"R",0.463768115942029,0.352657004830918,0.183574879227053
"146",664299,"R",0.433447098976109,0.419795221843003,0.146757679180887
"147",670280,"R",0.454545454545455,0.0909090909090909,0.454545454545455
"148",676606,"L",0.391752577319588,0.417525773195876,0.190721649484536
"149",457915,"R",0.606060606060606,0.242424242424242,0.151515151515151
"150",457918,"L",0.437673130193906,0.376731301939058,0.185595567867036
"151",570663,"R",0.416666666666667,0.4375,0.145833333333333
"152",594835,"L",0.537037037037037,0.285185185185185,0.177777777777778
"153",605164,"R",0.484641638225256,0.341296928327645,0.174061433447099
"154",607644,"L",0.429184549356223,0.360515021459227,0.210300429184549
"155",622065,"L",0.454198473282443,0.370229007633588,0.175572519083969
"156",642121,"R",0.6,0,0.4
"157",656186,"R",0.611111111111111,0.222222222222222,0.166666666666667
"158",663432,"R",0.666666666666667,0.222222222222222,0.111111111111111
"159",663903,"R",0.48559670781893,0.353909465020576,0.160493827160494
"160",670056,"L",0.411764705882353,0.352941176470588,0.235294117647059
"161",451584,"R",0.454545454545455,0.454545454545455,0.0909090909090909
"162",468504,"R",0.333333333333333,0.333333333333333,0.333333333333333
"163",501985,"L",0.474747474747475,0.38047138047138,0.144781144781145
"164",518886,"R",0.25,0.375,0.375
"165",572070,"R",0.410958904109589,0.388127853881279,0.200913242009132
"166",572971,"L",0.528301886792453,0.339622641509434,0.132075471698113
"167",605155,"R",0.5,0.375,0.125
"168",605483,"L",0.458904109589041,0.400684931506849,0.14041095890411
"169",621381,"L",0.5,0.357142857142857,0.142857142857143
"170",643316,"L",0.538461538461538,0.384615384615385,0.0769230769230769
"171",656464,"R",0.416666666666667,0.375,0.208333333333333
"172",656756,"L",0.494071146245059,0.351778656126482,0.154150197628458
"173",656794,"L",0.326923076923077,0.461538461538462,0.211538461538461
"174",657044,"R",0.379310344827586,0.5,0.120689655172414
"175",657277,"R",0.439252336448598,0.401869158878505,0.158878504672897
"176",663460,"L",0.468208092485549,0.416184971098266,0.115606936416185
"177",471911,"R",0.436823104693141,0.407942238267148,0.155234657039711
"178",572125,"L",0.6875,0.3125,0
"179",593140,"R",0.4,0.4,0.2
"180",594986,"L",0.432432432432432,0.378378378378378,0.189189189189189
"181",615698,"R",0.465909090909091,0.397727272727273,0.136363636363636
"182",622075,"R",0.55,0.375,0.075
"183",642584,"R",0.505747126436782,0.35632183908046,0.137931034482759
"184",643327,"R",0.410714285714286,0.428571428571429,0.160714285714286
"185",656605,"R",0.458333333333333,0.458333333333333,0.0833333333333334
"186",661255,"R",0.333333333333333,0.466666666666667,0.2
"187",664199,"R",0.466666666666667,0.371929824561403,0.16140350877193
"188",671790,"R",0.368421052631579,0.421052631578947,0.210526315789474
"189",433589,"R",0.478260869565217,0.347826086956522,0.173913043478261
"190",445926,"R",0.432432432432432,0.405405405405405,0.162162162162162
"191",452657,"L",0.412955465587045,0.384615384615385,0.202429149797571
"192",572020,"L",0.513157894736842,0.276315789473684,0.210526315789474
"193",592390,"R",0.542857142857143,0.314285714285714,0.142857142857143
"194",605200,"R",0.4296875,0.385416666666667,0.184895833333333
"195",621237,"L",0.535714285714286,0.392857142857143,0.0714285714285714
"196",630023,"R",0.457831325301205,0.36144578313253,0.180722891566265
"197",641871,"R",0.666666666666667,0.166666666666667,0.166666666666667
"198",656849,"L",0.441666666666667,0.4,0.158333333333333
"199",664139,"R",0.529411764705882,0.352941176470588,0.117647058823529
"200",664180,"L",0.4,0.4,0.2
"201",664948,"L",0.478260869565217,0.478260869565217,0.0434782608695652
"202",453562,"R",0.417112299465241,0.342245989304813,0.240641711229947
"203",489446,"R",0.692307692307692,0.307692307692308,0
"204",500610,"R",0.444444444444444,0.333333333333333,0.222222222222222
"205",543734,"L",0.473684210526316,0.315789473684211,0.210526315789474
"206",592346,"R",0.395348837209302,0.395348837209302,0.209302325581395
"207",594798,"R",0.52972972972973,0.351351351351351,0.118918918918919
"208",608349,"R",0.348837209302326,0.534883720930233,0.116279069767442
"209",626929,"L",0.396946564885496,0.419847328244275,0.183206106870229
"210",668676,"R",0.467836257309941,0.327485380116959,0.204678362573099
"211",458681,"R",0.473568281938326,0.348017621145374,0.1784140969163
"212",533167,"R",0.480582524271845,0.349514563106796,0.169902912621359
"213",571578,"L",0.464285714285714,0.318681318681319,0.217032967032967
"214",572096,"R",0.4,0.45,0.15
"215",572955,"R",0.55,0.4,0.0499999999999999
"216",657024,"R",0.333333333333333,0.444444444444444,0.222222222222222
"217",664045,"R",0.401360544217687,0.36734693877551,0.231292517006803
"218",669160,"R",0.483766233766234,0.344155844155844,0.172077922077922
"219",669456,"R",0.480874316939891,0.385245901639344,0.133879781420765
"220",453265,"L",0.352941176470588,0.470588235294118,0.176470588235294
"221",488748,"L",0.517241379310345,0.413793103448276,0.0689655172413792
"222",502043,"R",0.474474474474474,0.39039039039039,0.135135135135135
"223",502171,"R",0.43010752688172,0.381720430107527,0.188172043010753
"224",554430,"R",0.445652173913043,0.33695652173913,0.217391304347826
"225",592351,"R",0.45021645021645,0.324675324675325,0.225108225108225
"226",592865,"R",0,0.5,0.5
"227",596720,"R",0.512820512820513,0.384615384615385,0.102564102564103
"228",608652,"R",0.615384615384615,0.346153846153846,0.0384615384615384
"229",642232,"L",0.422535211267606,0.383802816901408,0.193661971830986
"230",656004,"R",0.25,0.6875,0.0625
"231",656793,"R",0.396825396825397,0.317460317460317,0.285714285714286
"232",657571,"L",0.619047619047619,0.19047619047619,0.19047619047619
"233",660896,"R",0.48936170212766,0.361702127659574,0.148936170212766
"234",669064,"R",0.333333333333333,0.222222222222222,0.444444444444444
"235",670550,"R",0.418918918918919,0.445945945945946,0.135135135135135
"236",672715,"R",0.5,0.285714285714286,0.214285714285714
"237",458676,"R",0.490566037735849,0.377358490566038,0.132075471698113
"238",543022,"R",0.428571428571429,0.321428571428571,0.25
"239",593974,"L",0.378378378378378,0.459459459459459,0.162162162162162
