"","pitcher","p_throws.x","totalStrPct_before","totalBallPct_before","totalBIPPct_before","totalStrPct_after","totalBallPct_after","totalBIPPct_after","difference_totalBIP","difference_totalStr","difference_totalBall"
"34",452657,"L",0.457089552238806,0.371268656716418,0.171641791044776,0.44683908045977,0.379310344827586,0.173850574712644,0.0022087836678677,-0.0102504717790359,0.00804168811116829
"35",453172,"R",0.43006993006993,0.39044289044289,0.17948717948718,0.455555555555556,0.422222222222222,0.122222222222222,-0.0572649572649573,0.0254856254856255,0.0317793317793318
"36",453178,"R",0.498285714285714,0.350857142857143,0.150857142857143,0.466666666666667,0.333333333333333,0.2,0.0491428571428572,-0.0316190476190476,-0.0175238095238096
"37",453192,"L",0.502659574468085,0.376329787234043,0.121010638297872,0.540983606557377,0.360655737704918,0.0983606557377048,-0.0226499825601676,0.038324032089292,-0.0156740495291245
"38",453214,"R",0.443396226415094,0.39622641509434,0.160377358490566,0.347826086956522,0.521739130434783,0.130434782608696,-0.0299425758818703,-0.0955701394585726,0.125512715340443
"39",453265,"L",0.468454258675079,0.340694006309148,0.190851735015773,0.46031746031746,0.253968253968254,0.285714285714286,0.0948625506985129,-0.00813679835761855,-0.0867257523408943
"40",453281,"L",0.45045045045045,0.359073359073359,0.19047619047619,0.437888198757764,0.346273291925466,0.21583850931677,0.0253623188405797,-0.0125622516926865,-0.0128000671478932
"41",453284,"R",0.472727272727273,0.381818181818182,0.145454545454546,0.484375,0.3125,0.203125,0.0576704545454545,0.0116477272727273,-0.0693181818181818
"42",453286,"R",0.533720930232558,0.322093023255814,0.144186046511628,0.526946107784431,0.336526946107784,0.136526946107784,-0.00765910040384343,-0.00677482244812699,0.0144339228519705
"43",453329,"R",0.457831325301205,0.349397590361446,0.192771084337349,0.470873786407767,0.330097087378641,0.199029126213592,0.00625804187624279,0.0130424611065622,-0.019300502982805
"44",453343,"R",0.457142857142857,0.358241758241758,0.184615384615385,0.392156862745098,0.411764705882353,0.196078431372549,0.0114630467571644,-0.0649859943977591,0.0535229476405947
"45",453385,"L",0.437158469945355,0.371584699453552,0.191256830601093,0.398523985239852,0.380073800738007,0.22140221402214,0.0301453834210473,-0.0386344847055028,0.00848910128445546
"46",453562,"R",0.450849963045085,0.371027346637103,0.178122690317812,0.426020408163265,0.372448979591837,0.201530612244898,0.0234079219270856,-0.0248295548818197,0.00142163295473402
"47",455119,"R",0.541935483870968,0.303225806451613,0.154838709677419,0.527272727272727,0.290909090909091,0.181818181818182,0.0269794721407626,-0.0146627565982406,-0.012316715542522
"48",456034,"L",0.513461538461538,0.339423076923077,0.147115384615385,0.502994011976048,0.351297405189621,0.145708582834331,-0.00140680178105324,-0.0104675264854905,0.0118743282665438
"49",456051,"R",0.486206896551724,0.379310344827586,0.13448275862069,0.428571428571429,0.402597402597403,0.168831168831169,0.0343484102104791,-0.0576354679802956,0.0232870577698164
"50",456387,"L",0.571428571428571,0.285714285714286,0.142857142857143,0.45679012345679,0.308641975308642,0.234567901234568,0.091710758377425,-0.114638447971781,0.0229276895943563
"51",456488,"R",0.5,0.3,0.2,0,0.666666666666667,0.333333333333333,0.133333333333333,-0.5,0.366666666666667
"52",456501,"R",0.421276595744681,0.412765957446808,0.165957446808511,0.518518518518518,0.37037037037037,0.111111111111111,-0.0548463356973995,0.0972419227738376,-0.0423955870764381
"53",456696,"R",0.538582677165354,0.316535433070866,0.14488188976378,0.4,0.418181818181818,0.181818181818182,0.0369362920544023,-0.138582677165354,0.101646385110952
"54",456701,"R",0.46256345177665,0.363578680203046,0.173857868020305,0.48993288590604,0.355704697986577,0.154362416107383,-0.019495451912922,0.0273694341293905,-0.00787398221646851
"55",457754,"R",0.43859649122807,0.456140350877193,0.105263157894737,0.2,0.6,0.2,0.094736842105263,-0.23859649122807,0.143859649122807
"56",457915,"R",0.499361430395913,0.303959131545338,0.196679438058748,0.489795918367347,0.306122448979592,0.204081632653061,0.00740219459431279,-0.0095655120285662,0.00216331743425341
"57",457918,"L",0.458208955223881,0.386567164179104,0.155223880597015,0.432011331444759,0.376770538243626,0.191218130311615,0.0359942497145997,-0.0261976237791214,-0.00979662593547842
"58",458006,"R",0.440725244072524,0.397489539748954,0.161785216178522,0.416666666666667,0.416666666666667,0.166666666666667,0.00488145048814503,-0.0240585774058577,0.0191771269177127
"59",458677,"L",0.472616632860041,0.383367139959432,0.144016227180527,0.540540540540541,0.405405405405405,0.0540540540540539,-0.0899621731264735,0.0679239076805,0.0220382654459734
"60",458681,"R",0.494242692648361,0.356510186005314,0.149247121346324,0.473257698541329,0.353322528363047,0.173419773095624,0.0241726517492997,-0.0209849941070324,-0.00318765764226742
"61",458708,"R",0.456614509246088,0.324324324324324,0.219061166429587,0.453125,0.32421875,0.22265625,0.0035950835704126,-0.00348950924608821,-0.000105574324324342
"62",458924,"L",0.397350993377483,0.490066225165563,0.112582781456954,0.485714285714286,0.428571428571429,0.0857142857142857,-0.0268684957426679,0.0883632923368023,-0.0614947965941344
"63",459429,"L",0.465753424657534,0.360730593607306,0.17351598173516,0.380952380952381,0.428571428571429,0.19047619047619,0.0169602087410305,-0.0848010437051533,0.0678408349641226
"64",460086,"R",0,0.75,0.25,0.303030303030303,0.484848484848485,0.212121212121212,-0.0378787878787878,0.303030303030303,-0.265151515151515
"65",460283,"L",0.485849056603774,0.372641509433962,0.141509433962264,0.5,0.227272727272727,0.272727272727273,0.131217838765008,0.0141509433962264,-0.145368782161235
"66",461325,"R",0.483091787439614,0.359098228663446,0.15780998389694,0.540229885057471,0.333333333333333,0.126436781609195,-0.0313732022877451,0.0571380976178578,-0.0257648953301127
"67",461829,"L",0.410573678290214,0.422947131608549,0.166479190101237,0.390697674418605,0.446511627906977,0.162790697674419,-0.00368849242681868,-0.0198760038716091,0.0235644962984278
